Código,Nome do Exercício,grupo_muscular,musculo_foco,url
672,Minhoca com Flexão de Braços,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/672
674,Hang Power Snatch,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/674
675,Snatch,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/675
676,Rotação de Ombros Inclinado com Halter,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/676
677,Rotação de Ombros Frente/Atrás com Halter,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/677
693,Elevação Pélvica no Aparelho,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/693
695,Hundred,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/695
696,Roll Up,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/696
697,Roll Over,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/697
698,One Leg Circle,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/698
699,One Leg Stretch,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/699
700,Double Leg Stretch,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/700
701,Spine Stretch,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/701
702,Saw,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/702
703,Double Kick,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/703
704,Neck Pull,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/704
705,Polichinelo com Salto no Step,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/705
706,Torção de Tronco,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/706
707,Avanço com Apoio e Anteriorização do Quadril,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/707
708,Avanço com Anteriorização do Quadril,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/708
709,Agachamento com Elevação do Calcanhar,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/709
710,Elevação Pélvica na Bola Suíça,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/710
711,Agachamento com Kettlebell,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/711
712,Afundo Alternado com Salto,Perna,Quadríceps e Glúteos,https://rcstorestaff.com.br/exercicios_html/712
714,Mobilidade Torácica e Ombro,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/714
715,Rotação de Tronco Deitado de Lado,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/715
716,Remada Paralela com Faixa Elástico,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/716
717,Frog Bridge,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/717
718,Superman Alternado,Costas,Eretores da Coluna,https://rcstorestaff.com.br/exercicios_html/718
719,Perdigueiro Estático,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/719
720,Rotação de Tronco com 3 Apoios,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/720
721,Elevação Pélvica com Barra,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/721
723,Glúteo no Cross Over com Banco,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/723
724,Abdução de Ombro com Faixa Elástica,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/724
725,Encolhimento com Faixa Elástica,Ombro,Trapézio Superior,https://rcstorestaff.com.br/exercicios_html/725
726,Mobilidade de Ombro,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/726
727,Ativação de Serrátil Anterior,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/727
728,Glúteo Cruzado no Cross Over,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/728
729,Pull Down com Corda,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/729
731,Rosca Unilateral na Polia Alta,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/731
732,Agachamento Sumô com Barra Livre,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/732
733,Prancha Alta com Toque nos Ombros,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/733
734,Devil Press,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/734
735,Agachamento 21,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/735
736,Tríceps Testa Unilateral com Halter,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/736
737,Afundo com Desenvolvimento Unilateral,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/737
738,Rosca Alternado e Direto,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/738
739,Peck Deck e Desenvolvimento com Halter,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/739
740,Crucifixo e Pull Over,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/740
741,Elevação Pélvica com Pull Over,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/741
742,Elevação Lateral e Frontal Conjugada,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/742
744,Panturrilha no Leg Press 180°,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/744
746,Desenvolvimento Sentado com Barra,Ombro,Deltoide (Anterior e Lateral),https://rcstorestaff.com.br/exercicios_html/746
756,Supino Reto Alternado com Halter,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/756
757,Supino Reto com Halter Pegada Neutra,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/757
760,Abdominal com Foam Roller,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/760
761,Agachamento e Passada Lateral com Faixa Elástica,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/761
762,Flexão de Quadril com Caneleira,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/762
763,Elevação Pélvica Unilateral,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/763
764,Abdução Total de Ombros,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/764
765,Peck Deck com Halteres,Peito,Peitoral,https://rcstorestaff.com.br/exercicios_html/765
767,Flexão Total de Quadril com Caneleira,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/767
768,Tríceps Testa com um Halter,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/768
769,Tibial Unilateral no Leg Press,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/769
770,Tibial no Leg Press,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/770
771,Tibial no Leg Press Inclinado,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/771
772,Tibial Unilateral no Leg Press Inclinado,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/772
773,Avanço com Halter,Perna,Quadríceps e Glúteos,https://rcstorestaff.com.br/exercicios_html/773
774,Prancha com Flexão de Joelho na Bola Suíça,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/774
775,Flexão Lateral de Quadril na Bola Suíça,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/775
776,Flexão Alternada de Ombro e Cotovelo com Bola Suíça,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/776
777,Sentar e Deitar na Bola Suíça com Elevação Pélvica,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/777
778,Extensão e Flexão do Tronco na Bola Suíça,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/778
779,Flexão Lateral de Tronco na Bola Suíça,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/779
780,Flexão de Quadril com Bola Suíça,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/780
781,Flexão de Quadril e Joelho com Bola Suíça,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/781
782,Stiff com Kettlebell,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/782
783,Banco Isométrico com Faixa Elástica,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/783
784,Stiff Unilateral com Kettlebell,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/784
785,Agachamento Curto Unilateral Isométrico,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/785
786,Ondulação de Corda Naval com Afundo Alternado,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/786
787,Corda Naval Serpente,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/787
788,Agachamento e Salto com Corda Naval,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/788
789,Afundo e Rotação de Tronco com Faixa Elástico,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/789
791,Liberação Miofascial do Piriforme com Foam Roller,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/791
792,Flexão de Joelho com Alongamento de Lombar,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/792
793,Flexão de Pernas,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/793
794,Alongamento Deitado do Glúteo com Torção,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/794
795,Alongamento da Perna Sentado,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/795
804,Mobilidade de Tornozelo,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/804
805,Flexão de Tornozelo,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/805
806,Rotação de Tornozelo,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/806
807,Flexão de Quadril Deitado,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/807
808,Alongamento de Cadeia Posterior em Afundo,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/808
809,Alongamento Cadeia Posterior e Quadríceps,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/809
810,Alongamento de Cadeia Posterior em 4 Apoios,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/810
811,Alongamento Z,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/811
812,Alongamento Z com Extensão de Quadril,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/812
813,Alongamento Z com Rotação da Perna,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/813
814,Alongamento Borboleta com Rotação de Tronco,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/814
815,Alongamento Frog,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/815
816,Alongamento Spider-Man,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/816
817,Mobilidade Torácica com Torção,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/817
818,Alongamento Dinâmico Invertido do Punho,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/818
819,Alongamento Dinâmico Rotação do Punho,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/819
820,Estabilidade de Arco Plantar com Agachamento,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/820
821,Estabilidade de Arco Plantar com Agachamento Unilateral,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/821
822,Pallof Press com uma Perna,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/822
823,Mobilidade de Tornozelo com Barra,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/823
824,Dorsiflexão com Halter,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/824
825,Passada Lateral com Faixa Elástica no Tornozelo,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/825
826,Agachamento Unilateral com Equilíbrio Posterior,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/826
827,Agachamento Unilateral com Equilíbrio Anterior,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/827
828,Prancha com Apoio do Joelho,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/828
829,Prancha no Banco,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/829
830,Prancha Lateral no Banco,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/830
831,Prancha Lateral com Apoio do Joelho,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/831
832,Prancha Lateral na Bola Suíça,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/832
833,Prancha Lateral com os Pés na Bola Suíça,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/833
834,Caminhada com Peso Unilateral,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/834
835,Prancha Alta com Joelho e Toque nos Ombros,Abdome,Core (estabilização),https://rcstorestaff.com.br/exercicios_html/835
836,Pallof Press Ajoelhado,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/836
837,Pallof Press Semi-Ajoelhado,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/837
838,Alongamento Torácico,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/838
839,Alongamento Torácico com Foam Roller,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/839
840,Alongamento Torácico com Bola Suíça,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/840
841,Mobilidade Torácica no Banco,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/841
842,Rotação de Tronco Semi-Ajoelhado,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/842
843,Mobilidade Escapular na Parede,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/843
844,Rotação Externa com Abdução de Ombro na Parede,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/844
845,Rotação Externa do Ombro com Faixa Elástica,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/845
846,Mobilidade e Estabilidade de Ombro,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/846
847,Alongamento Dinâmico do Punho,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/847
848,Saltito Alternado,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/848
849,Corrida Estacionária com Calcanhar Atrás,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/849
850,Polichinelo Cruzado,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/850
851,Fly Inclinado,Peito,Peitoral Superior,https://rcstorestaff.com.br/exercicios_html/851
852,Fly Reto,Peito,Peitoral (Abertura),https://rcstorestaff.com.br/exercicios_html/852
854,Flexão Nórdica Reversa,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/854
857,Good Morning com Faixa Elástica na Cintura,Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/857
858,Deadbug com Resistência no Braço,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/858
859,Alongamento Deitado de Dorsal com Rotação,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/859
860,Rotação de Tronco Deitado de Lado com Rolo,Mobilidade,Mobilidade Articular,https://rcstorestaff.com.br/exercicios_html/860
861,Afundo Alternado,Perna,Quadríceps e Glúteos,https://rcstorestaff.com.br/exercicios_html/861
862,Banco Extensor em Isometria,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/862
863,Banco Flexor em Isometria,Perna,Posterior de Coxa,https://rcstorestaff.com.br/exercicios_html/863
865,Elevação Lateral em Isometria,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/865
866,Elevação Frontal em Isometria,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/866
867,Agachamento Frontal com Halter,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/867
868,Elevação Lateral com Isometria Alternada,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/868
869,Elevação Frontal com Isometria Alternada,Ombro,Deltoide Anterior,https://rcstorestaff.com.br/exercicios_html/869
870,Elevação de Joelhos com Braços Alternados,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/870
872,Flexão de Quadril,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/872
873,Passada Diagonal,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/873
874,Salto Lateral,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/874
876,Salto no Step,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/876
877,Agachamento com Barra Hexagonal,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/877
878,Flexão Extensão Lombar,Costas,Lombar,https://rcstorestaff.com.br/exercicios_html/878
879,Face Pull 2,Costas,Latíssimo do Dorso,https://rcstorestaff.com.br/exercicios_html/879
881,Agachamento com Remada na Polia,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/881
882,Abdominal Remador Unilateral,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/882
883,Agachamento Sumô com Barra à Frente,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/883
884,Agachamento com Desenvolvimento Arnold,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/884
885,Remada Baixa Romana,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/885
886,Salto com Sandbag,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/886
889,Lunges Sandbag,Perna,Quadríceps e Glúteos,https://rcstorestaff.com.br/exercicios_html/889
890,Sandbag Clean,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/890
891,Plate Chest Press,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/891
892,Agachamento Sumô,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/892
893,Elevação Pélvica no Aparelho (2),Glúteo,Glúteo Máximo,https://rcstorestaff.com.br/exercicios_html/893
897,Supino Inclinado na Barra Guiada Smith,Peito,Peitoral Superior,https://rcstorestaff.com.br/exercicios_html/897
899,Retração Escapular na Remada Baixa,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/899
900,Encolhimento de Ombro com Halteres,Ombro,Trapézio Superior,https://rcstorestaff.com.br/exercicios_html/900
902,Rosca Bíceps Unilateral Polia Alta Crossover,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/902
903,Rosca Direta Alta com Halter,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/903
904,Rosca Bíceps Polia Alta Crossover,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/904
907,Supino 45º no Smith,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/907
908,Remada Curvada Invertida,Costas,Dorsais e Trapézio,https://rcstorestaff.com.br/exercicios_html/908
